TaxonomicName,CatalogueNumber,Clade,Order,Family,Genus,FullName,VernacularName,TypeStatus,TypeName,DecimalLatitude,DecimalLongitude,Locality,RecordedBy,RecordNumber,CollectionDate,Country,InstitutionCode,ImageFile,Habit,LeafArrangement,LeafForm,LeafVenation,LeafMargin,Stipules,Exudate,StemArmature,Tendrils,LeafSample,DNAextracted,DNAsequenced,DNAnotes,EditedAt
Xerochlamys sp.,K001036716,,,Sarcolaenaceae,Xerochlamys,Xerochlamys sp.,,,,-20.2369,47.0933,,"Rabarivola, M.L.; Wearn, J.; Razafindrahaja, V.S.",RML 142,2013-11-21 00:00:00,Madagascar,K,K001036716,,,,,,,,,,,,,Not attempted,
Xerochlamys sp.,K000953842,,,Sarcolaenaceae,Xerochlamys,Xerochlamys sp.,,,,-20.6269,46.8408,,"Randriamboavonjy, T.; Razafindrabe, H.; Ravaoarisoa, S.",RTI1267,2014-03-31 00:00:00,Madagascar,K,K000953842,,,,,,,,,,,,,Not attempted,
Xerochlamys sp.,K000952044,,,Sarcolaenaceae,Xerochlamys,Xerochlamys sp.,,,,,,,"Rakotonasolo, F.; Letsara, R.; Faramalala, M.; Ramavovololona",RNF2262,2013-07-05 00:00:00,Madagascar,K,K000952044,,,,,,,,,,,,,Not attempted,
Xerochlamys sp.,K005508275,,,Sarcolaenaceae,Xerochlamys,Xerochlamys sp.,,,,-20.5119,46.7753,,"Andriamihajarivo, T.",11,2001-01-31 00:00:00,Madagascar,K,K005508275,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508247,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Descoings, B.",BD2897,1958-01-01 00:00:00,Madagascar,K,K005508247,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508255,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Croat, T.B.",29219,1975-01-23 00:00:00,Madagascar,K,K005508255,,,,,,,,,,,,,Not attempted,
Leptolaena bojeriana,K000240318,,,Sarcolaenaceae,Leptolaena,Leptolaena bojeriana,,Isotype,,,,,"Baron, R.",5112,,Madagascar,K,K000240318,,,,,,,,,,,,,,
Xerochlamys bojeriana,K005508248,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-24.2361,47.0997,,"Labat, J.-N.; Haevermans, T.; Rabenantoandro, J.",3009,1999-03-23 00:00:00,Madagascar,K,K005508248,,,,,,,,,,,,,Not attempted,
Xerochlamys villosa,K005508277,,,Sarcolaenaceae,Xerochlamys,Xerochlamys villosa,,,,-22.6833,45.2667,,"Phillipson, P.B.",3408,1990-02-01 00:00:00,Madagascar,K,K005508277,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508250,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,s.coll.,s.n.,1873-01-01 00:00:00,Madagascar,K,K005508250,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K005508241,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,,,,"Hubert, H.; Capuron, R.",28012,1955-01-15 00:00:00,Madagascar,K,K005508241,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K001036081,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-22.6322,45.3414,,"Rabarivola, M.L.; Rakotoarisoa, S.E.; Rajaonarison, R.; Peckering, T.E.; Nanjarisoa, O.P.",RML 516,2014-08-23 00:00:00,Madagascar,K,K001036081,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K000751138,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-19.1617,47.5019,,"Adrianaivoravelona, B.; Rakotoarisoa, S.E.; Ratovoarimanana, V.; Ramarokoto, F.; Schuman, L.",ANB 403,2011-06-06 00:00:00,Madagascar,K,K000751138,,,,,,,,,,,,,Not attempted,
Xerochlamys bojeriana,K000953773,,,Sarcolaenaceae,Xerochlamys,Xerochlamys bojeriana,,,,-20.5731,46.5831,,"Rabarivola, M.L.; Rakotonasolo, F.; Rajaovelona, L.; Onjalalaina, G.E.; Rakotovao, A.",RML228,2014-01-13 00:00:00,Madagascar,K,K000953773,,,,,,,,,,,,,Not attempted,
Leptolaena bojeriana,K001522097,,,Sarcolaenaceae,Leptolaena,Leptolaena bojeriana,,,,-20.5808,46.8178,,"Rakotonasolo, F.; Randriatsara, F.O.; Onjalalaina, G.E.; Augustin",MDG05 49,2017-06-13 00:00:00,Madagascar,K,,,,,,,,,,,,,,Not attempted,
